부서,부,주소,번호
기획처,기획과,집현관 201호,02-3408-3909
기획처,예산조정과,집현관 202호,02-3408-3007
교무처,교무과,집현관 101호,02-3408-4388
교무처,수업과,학생회관 205호,02-3408-3344
교무처,학적과,학생회관 204호,02-3408-3037
교무처,교직과,학생회관 205호,02-3408-3343
입학처,입학과,집현관 206호,02-3408-4028
학생지원처,학생지원과,집현관 104호,02-3408-3052~3056
학생지원처,장애학생지원센터,집현관 104호,02-3408-3465
학생지원처,학생생활상담소,집현관 104호,02-3408-3336
취창업지원처,취업지원과,학생회관 308호,02-3408-4152/4399
취창업지원처,현장실습지원센터,학생회관 308호,02-3408-4452
취창업지원처,창업지원센터,학생회관 311A호,02-3408-3752
연구산학협력처,연구지원과,집현관 216호,02-3408-3800
연구산학협력처,산학협력과,광개토관 1002호,02-3408-3417
대외협력처,국제교류센터,학생회관 209호,02-3408-3823
대외협력처,대외협력과,학생회관 209호,02-3408-3973
학술정보원,정보처리과,학술정보원 2층,02-3408-3067
학술정보원,정보운영과,학술정보원,02-3408-3862
학술정보원,전자정보과,학술정보원 2층,02-3408-3865
전산정보실,전산개발과,학술정보원 2층,02-3408-3094
전산정보실,전산운영과,학술정보원 2층,02-3408-3437
총무처,총무과,집현관 112호,02-3408-3016
총무처,구매과,집현관 114호,02-3408-3098
총무처,직장예비군,세종관 104호,02-3408-4075
총무처,보건실,학생회관 205호,02-3408-3089
총무처,컨벤션마케팅팀,집현관 113호,02-3408-4497
캠퍼스개발처,건설개발과,집현관 117호,02-3408-3114
캠퍼스개발처,재산관리과,집현관 106호,02-3408-3432
미래교육원,미래교육원,대양AI센터 323호,02-3408-3249
미래교육원,교학과,대양AI센터 323호,02-3408-3463
벤처창업보육센터,창업지원단,광개토관 1001호,02-3408-3752
국제교육원,국제교육원,광개토관 910호,02-3408-4051
박물관,행정관리실,박물관 1층,02-3408-4186
박물관,학예연구실,광개토관 1007호,02-3408-4186
세종한국어센터,세종한국어센터,집현관 913호,02-3408-2994
EMS센터,SW융합센터,군자관 302호,02-3408-3190
창의교육개발원,SW융합센터,군자관 302호,02-3408-3190
인문과학대학,단대조교실,집현관 801호,02-3408-3520
인문과학대학,국어군문학과조교실,집현관 908호,02-3408-3301
인문과학대학,영어영문학,집현관 805호,02-3408-3302
인문과학대학,일어일문학,집현관 715호,02-3408-3303
인문과학대학,중국통상학,집현관 615호,02-3408-3309
인문과학대학,CK사업단사무실,집현관 815호,02-3405-3233
인문과학대학,역사학과,집현관 915호,02-3408-3305
인문과학대학,교육학과,집현관 706호,02-3408-3304
사회과학대학,단대조교실,집현관 602호,02-3408-3521
사회과학대학,행정학과,집현관 604호,02-3408-3308
사회과학대학,미디어커뮤니케이션,집현관 506호,02-3408-3307
경영경제대학,단대조교실,광개토관 809호,02-3408-3486
경영경제대학,경제학과,집현관 412호,02-3408-3306
경영경제대학,경영학부,광개토관 317호,02-3408-3310,3311
호텔관광대학,호텔관광대학학장실,광개토관 501호,02-3408-3516
호텔관광대학,호텔관광외식경영학부,광개토관 517호,02-3408-3312~4
호텔관광대학,호텔외식관광경영학과,광개토관 10098A,02-3408-3952
호텔관광대학,호텔외식비즈니스학과,광개토관 1009A,02-3408-3500
호텔관광대학,글로벌조리학과,광개토관 1009A,02-3408-3952
자연과학대학,단대조교실,영실관 105A,02-3408-3523
자연과학대학,수학통계학부,다산관 109호,02-3408-3315
자연과학대학,물리천문학과,영실관 113호/601호,02-3408-3316(물)/3902(천)
자연과학대학,화학과,영실관 215호,02-3408-3317
생명과학대학,단대조교실,충무관 407B,02-3408-3528
생명과학대학,생명시스템학부,영실관 304A,02-3408-3319
생명과학대학,식품생명공학,영실관 304A,02-3408-3319
생명과학대학,바이오융합공학,충무관 612호,02-3408-3334
생명과학대학,바이오산업자원공학,다산관 211B,02-3408-3435
전자정보공학대학,단대조교실,충무관 1107호,02-6935-2546
전자정보공학대학,전자정보통신공학과,충무관 922호,02-3408-4467/3329
소프트웨어융합대학,단대조교실,대양AI센터 401호,X
소프트웨어융합대학,컴퓨터공학과,대양AI센터 442호,02-3408-3321
소프트웨어융합대학,소프트웨어학과,대양AI센터 402호,02-3408-3667
